Genus	taxon
Acetobacterium	4366937
Achromobacter	220314
Acidisoma	581747
Acidovorax	141042
Aestuariimicrobium	4362609
Afipia	313427
Anoxybacillus	4439125
Azospira	690515
Bacillus	239470
Beta_proteobacterium	277409
Blastomonas	2251859
Brachybacterium	519902
Bradyrhizobium	259272
Brevibacterium	1134896
Brevundimonas	329940
Bulleidia	336037
Candidatus_desulforudis	4312850
Caulobacter	866365
Chryseobacterium	219549
Clostridium	1124194
Clostridium_sensu_stricto_12	341885
Corynebacterium	1042616
Cutibacterium	258617
Dechloromonas	156371
Desulfobacterium	556957
Desulfobulbus	162379
Desulfomicrobium	10413
Desulfosporosinus	4424709
Desulfotomaculum	4450598
Desulfovibrio	4308446
Enhydrobacter	823916
Enterococcus	543824
Erysipelothrix	4345999
Flavisolibacter	4010666
Gallionella	638460
Gelria	4405849
Geothrix	4354822
Halomonas	716727
Herbaspirillum	3275744
Hydrogenophaga	530377
Legionella	838066
Methylocystis	676387
Micrococcus	4422405
Mycobacterium	2651333
Mycoplana	1125570
Neisseria	355750
Nitrospira	4303815
Novosphingobium	89388
Oerskovia	4320905
Opitutus	4379512
Oxalobacteraceae_unclassified	236204
Oxobacter	586332
Paracoccus	370584
Phenylobacterium	4328978
Phreatobacter	1777569
Porphyrobacter	4303453
Prevotella	4449524
Propionibacterium	652276
Propionivibrio	1688393
Psb-m-3	4326986
Pseudarthrobacter	270098
Pseudoalteromonas	562023
Pseudomonas	104313
Pseudorhodoferax	605399
Pseudoxanthomonas	4345543
Ralstonia	339616
Ruminiclostridium_1	181537
Sediminibacterium	781203
Shewanella	4378477
Silanimonas	1657324
Simplicispira	120274
Smithella	713656
Sphingobium	1125313
Sphingomonas	3290764
Sphingopyxis	722895
Staphylococcus	928538
Streptococcus	523025
Syntrophus	145205
Tepidimonas	546567
Tessaracoccus	529182
Thermincola	4337055
Thiobacillus	147946
Treponema	3918
Variovorax	38267
Wchb1-05	4463039
